"Repair","Réparation"
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de livraison par défaut"
"The address has been saved.","L'adresse a été enregistrée."
"Default Addresses","Adresses par défaut"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Shipping Address","Modifier l'adresse de livraison"
"Delete Address","Supprimer l'adresse"
"Edit Account Information","Modifier les informations de compte"
"Save","Sauvegarder"
"Add New Address","Ajouter une nouvelle adresse"
"Address","Adresse"
"Street Address","Rue"
"City","Ville"
"State/Province","Région"
"Zip/Postal Code","Code Postal"
"Country","Pays"
"Save Adress","Sauvegarder l'adresse"
"Company","Entreprise"
"Telephone","Téléphone"
"Fax","Fax"
"You have placed no orders.","Vous n'avez passé aucune commande."
"Recently Viewed Products","Derniers articles consultés"
"Recurring Profiles","Profils récurrents"
"There are no recurring profiles yet.","Il n'y a pas encore profils récurrents."
"Billing Agreements","Conditions de facturation"
"There are no billing agreements yet.","Les conditions de facturation de sont pas encore définies."
"Billing Information","Données de facturation"
"Shipping Information","Données de livraison"
"Shipping Method","Mode d'expédition"
"Payment Information","Données de paiement"
"Select a billing address from your address book or enter a new address.","Sélectionnez une adresse de facturation depuis votre carnet d'adresses ou entrez une nouvelle adresse."
"Ship to this address","Expédier à cette adresse"
"Ship to different address","Expédier à une adresse différente"
"Continue","Poursuivre"

"Order Review","Vérifier la commande"
"Add to Cart","Ajouter au panier"
"Qty in Stock:","Qté en stock:"
"Qty:","Qté:"
"was added to your shopping cart.","a été ajouté à votre panier."
"Shopping Cart","Panier"
"Product Name","Nom du produit"
"Unit Price","Prix unitaire"
"Qty","Qté"
"Subtotal","Total"
"Cart Subtotal:","Total du panier:"
"Recently added item(s)","Dernier(s) article(s) ajouté(s)"

"Continue Shopping","Poursuivre les achats"
"Update Shopping Cart","Actualiser le panier"
"Clear Shopping Cart","Vider le panier"
"Tax","TVA"
"Grand Total","Montant total"
"Grand Total (Excl. Tax)","Montant total (HT)"
"Grand Total (Incl. Tax)","Montant total (TTC)"
"Grand Total Excl. Tax","Montant total (HT)"
"Grand Total Incl. Tax","Montant total (TTC)"
"Grand Total (Excl.Tax)","Montant total (HT)"
"Grand Total (Incl.Tax)","Montant total (TTC)"
"Shipping & Handling","Expédition et manutention"
"Flat Rate","Forfait"
"Fixed","Prix fixe"
"Your order has been received.","Votre commande a été enregistrée."
"Thank you for your purchase!","Nous vous remercions pour votre achat!"
"Your order # is:","Votre numéro de commande est:"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous allez recevoir par email une confirmation de la commande."
"Recent Orders","Commandes récentes"
"View All","Tout afficher"
"Order #","N° de commande"
"Date","Date"
"Ship To","Envoyer à"
"Order Total","Montant de la commande"
"Status","État"
"View Order","Consulter la commande"
"Last Ordered Items","Derniers articles commandés"
"Shop By","Filter par"
"Price","Prix"
"Manufacturer","Fabricant"
"There are no products matching the selection.","Il n'y pas d'article correspondant à la sélection."
"Repair of,""Réparation de"
"Contact Us","Contact"
"comment","Commantaire"
"We can change the firmware to suit your needs","Nous adaptons le firmware à vos besoins"
-------------------------------
"Send confirmation link","Envoyer un lien de confirmation"
"Retrieve your confirmation link here","Récupérer le lien de confirmation ici"
"Please enter your email below and we'll send you confirmation link for it.","Veuillez saisir votre email ci-dessous et nous vous enverrons un lien de confirmation."
"My Quote","Votre requêtes"
"You have no items in your quote.","Vous n'avez pas émis d'appel d'offre."
"Submit Quote","Envoyer un appel d'offre"
"There is <a href="%s">1 item</a> in your quote.","Vous avez <a href="%s">1 article</a> dans vos appels d'offre."
"There are <a href="%s">%s items</a> in your quote.","Vous avez <a href="%s">%s article</a> dans vos appels d'offre."
"There is <a href=""%s"">1 item</a> in your quote.","Vous avez <a href=""%s"">1 article</a> dans vos requêtes."
"There are <a href=""%s"">%s items</a> in your quote.","Vous avez <a href=""%s"">%s article</a> dans vos requêtes."
"Edit item","Modifier l'article"
"Remove","Supprimer"
"Click <a href="%s">here</a> to continue shopping.","Cliquez <a href="%s">ici</a> pour poursuivre vos achats."
"Copy to Quotation","Enregistrer comme demande de prix"
"Learn More","Détails"
"Your Checkout Progress","État de la commande"
"Billing Address","Adresse de facturation"
"Payment Method","Mode de paiement" 
"Change","Modifier"
"Forgot an Item?","Article oublié ?"
"Edit Your Cart","Modifier le panier" 
"Place Order","Passer la commande"
"Please agree to all the terms and conditions before placing the order.","Veuillez agréer nos conditions générales de vente avant de soumettre votre commande."
"Submitting order information...","Transmission de la commande..."
"Loading next step...","Chargement de la prochaine étape..."
"You are now logged out","Vous n'êtes plus connecté"
"You have logged out and will be redirected to our homepage in 5 seconds.","Vous avez mis fin à votre session et vous serez redirigé à la page d'accueil dans 5 secondes."
"Recent Orders","Dernières commandes"
"Resubmit Quote","Soumettre à nouveau une demande"
"Print Quote","Imprimer la demande"
"Back","Retour"
"Mr","M."
"Imprint","Mentions légales"
"Terms Of Use","Conditions d'utilisation"
"Privacy Policy","Confidentialité"
"About Us","Qui sommes-nous"
"Company Overview","Qui sommes-nous"
"Service & Support","Service et Assistance"
"Repairs","Reparations"
"About Top Ten","La société TOP TEN"
"Storage Medium","Support de stockage"
"Cables","Câble"
"Spare Parts","Pièces de rechange"
"Accessories","Accessoires"
"Tape Drives","Lecteurs de bandes magnétiques"
"Back to Login","Retour au login"
"Home","Accueil"
"All prices are excluding tax","Les prix sont exprimés hors taxes"
"Standard Delivery","Livraison standard"
"Express Delivery","Livraison express"
"Select Shipping Method","Choisissez le mode d'expédition"
"Over 8.500 items in stock","Plus de 8.500 articles en stock"
"Refurbished to Manufacturer Specification","Matériel reconditionné aux normes du constructeur"
"From DAT/SDLT/LTO to enterprise solutions","Des DAT/SDLT/LTO aux solutions d’entreprise"
"Repair, Sale and advanced exchanges","Réparation, Vente et Échanges Anticipés"
"+49 89 8996160","+33 (0)1 84 88 30 12"
"Quote For","Devis Pour"

"English","Anglais"
"Italian","Italien"
"French","Français"
"Spanish","Espagnol"
"German","Allemand"

"Excl. Tax","Hors TVA" 
